what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179434236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179435206
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179435871
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179437157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179444669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179447999
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179449460
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179452956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318179460078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179462894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179464865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179465529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179476557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179477656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179481578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179485996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179488853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318179515161
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318179518918
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1318179519099
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318179520663
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1318179521439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179522006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318179522136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179522849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179523332
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1318179528098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179530859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179533480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179534825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179536048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179537808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179538740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318179585577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318179588322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179603407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179628985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179632479
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318179633895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179636507
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318179654439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179672811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179678395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179682142
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318179684370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179689686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179698016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318179700588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179706033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179706843
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179707867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179709024
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179710704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179711652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179714109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179716465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179718044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318179721922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179726963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179727731
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179728604
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318179730717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179734260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179734439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179744417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179744674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179746724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179746998
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318179749882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179751574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179752635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179766060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179771685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179773820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179798362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179804589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179805600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179805963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179815585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179817554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179836295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179861474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179864915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179889412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179890645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318179893340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179893778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318179926114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318179936361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318179937324
